task_name,Q16shared_knowledge,Q9divisible_unitary,Q23ss_out_uncert,Q22confl_tradeoffs,Q17within_sys_sol,Q19time_solvability,Q11optimizing,Q13outcome_multip,Q20type_3_type_4,Q6type_5_cc,Q8type_8_performance,Q15dec_verifiability,Q18sol_eureka,Q14sol_scheme_mul,Q10maximizing,Q3type_1_planning,Q4type_2_generate,Q1concept_behav,Q7type_7_battle
Putting food into categories,0.5,0.5,1,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,1,1,1,0.5,1,1
Shopping plan,0.5,0.5,0.5,1,1,0.5,1,0.5,0.5,0.5,1,0.5,0.5,1,0.5,1,1,1,1
Whac-A-Mole,0.5,1,0.5,0.5,1,0.5,1,1,0.5,1,0.5,0.5,0.5,1,1,1,1,0.5,1
Divergent Association Task,0.5,0.5,0.5,1,0.5,0.5,1,1,0.5,1,1,0.5,0.5,1,1,1,1,1,1
Recall association,0.5,0.5,1,1,0.5,0.5,0.5,0.5,0.5,1,1,1,0.5,1,1,1,1,1,1
Summarize Discussion,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,0.5,1,1,1,1,0.5,1,1,1,1
Word completion given part of word,0.5,0.5,1,1,0.5,1,0.5,1,0.5,1,0.5,0.5,1,1,1,1,0.5,1,1
Euclidean traveling salesperson,1,0.5,0.75,0.75,1,0.75,1,0.75,1,0.75,1,0.75,0.75,0.75,0.75,0.5,1,1,1
Recall videos,0.6666666666666667,0.5,1,0.6666666666666667,0.6666666666666667,1,0.6666666666666666,0.6666666666666666,0.6666666666666667,0.6666666666666667,1,1,1,0.6666666666666666,1,1,1,1,1
Advertisement writing,0.5,1,0.5,1,0.5,0.5,1,1,1,0.5,1,1,1,0.5,1,1,1,1,1
Ravens Matrices,0.5,0.5,0.5,1,1,1,0.5,1,1,1,0.5,1,1,0.5,1,1,1,1,1
To evacuate or not to evacuate,0.5,1,0.5,0.5,0.5,1,1,0.5,1,1,0.5,1,1,1,1,1,1,1,1
Wildcat Wells,0.5,1,1,0.5,1,0.75,0.6666666666666666,0.5,1,0.75,0.6666666666666667,1,1,1,0.75,1,1,1,1
Letters-to-numbers problems (cryptography),1,0.6666666666666667,0.6666666666666667,0.6666666666666666,1,0.6666666666666666,0.6666666666666666,0.6666666666666667,1,1,1,1,1,0.6666666666666667,0.6666666666666666,1,1,1,1
Moral Reasoning (Disciplinary Action Case),0.5,1,1,1,0.5,1,0.5,1,1,1,0.5,1,1,1,1,0.5,1,1,1
9 Dot Problem,0.5,1,0.5,0.5,1,1,1,1,1,1,1,1,1,0.5,1,1,1,1,1
Abstract grid task,1,0.5,1,0.5,1,1,1,0.5,1,1,1,1,1,1,0.5,1,1,1,1
Graph coloring task,1,0.6666666666666667,0.8333333333333334,0.8333333333333334,1,1,1,0.5,1,0.5,1,1,1,1,1,1,1,1,1
Estimating pages of a book,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Wolf, goat and cabbage transfer",1,1,1,1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1
